,Unnamed: 0,model,mae,rmse,r2,mae_avo,rmse_avo,r2_avo,mae_olive,rmse_olive,r2_olive,mae_grape,rmse_grape,r2_grape,mae_tr,rmse_tr,r2_tr,best_params
81,81,FWBI_XGB,0.0142033846001434,0.0220743499055315,0.7692066113637862,0.0256716609638235,0.0345507069657329,0.5894741914809707,0.0074118931130647,0.0102212264036981,0.8518084072138176,0.0095703079934166,0.0129085596639321,0.8504858253501705,0.0047342646848139,0.0067929274736765,0.9828166840379317,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.6}"
73,73,LIC2_MLP,0.0610236058311149,0.0805585930230005,5.570876377647416e-06,0.0766070452820373,0.0965522510902003,0.3181921605384505,0.072751681562664,0.0906096916843218,0.064670633139215,0.0339673384540872,0.0444877450271337,0.5502821134350246,0.0595703586141456,0.080180925319383,0.4748821207061771,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
48,48,LIC2_RF,0.0527992116378734,0.0720742016028001,0.3669595166847197,0.0676149850342293,0.0823200292055124,0.5043806945595413,0.0632735860406077,0.0859119336247755,0.1591427895877558,0.02774542036027,0.0382340115214717,0.6678309928312647,0.0359713011134378,0.0510471124033124,0.787158143570279,"{'rf__max_depth': 20, 'rf__min_samples_split': 20, 'rf__n_estimators': 500}"
123,123,LIC2_Ridge,0.0623555606938448,0.0809127145949849,0.0487506957149573,0.0777423243778634,0.0962811235974363,0.3220159409384124,0.0737517560144353,0.091811679225415,0.0396907187149121,0.0358229097173162,0.0445444375058793,0.5491351968293152,0.0604440658624056,0.0806347678944166,0.4689207196587421,"{'ridge__alpha': 0.1, 'ridge__fit_intercept': True, 'ridge__solver': 'svd'}"
23,23,LIC2_SVR,0.0529282896958245,0.0712838800100333,0.4105173113103759,0.067649163460564,0.0842336984152272,0.4810698284791723,0.0637616404961378,0.0829763990717128,0.2156237548075504,0.0276128896594172,0.0360479478916892,0.704729222089173,0.0459832575137607,0.064362284969755,0.6616411147328396,"{'SVR__C': 1, 'SVR__epsilon': 0.05, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
98,98,LIC2_XGB,0.0503167491195856,0.0696173343797069,0.4009332923474559,0.0633230136778682,0.0798697685188997,0.5334458739157437,0.060920186202438,0.0822265487306227,0.2297363749036508,0.0269276988956575,0.0378358518279737,0.6747132247672241,0.0293272167152425,0.041650571508514,0.8583043206851872,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
57,57,LWI_MLP,0.2782624857625783,0.3964211002887888,0.8663764571580272,0.3065558235649604,0.4461420413299607,0.8584287357688802,0.2287649203258906,0.3558233565048067,0.8880350412802743,0.2992685430451614,0.3819714552686076,0.888590840379429,0.3099421949793908,0.4463902362208751,0.8598967038957154,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
32,32,LWI_RF,0.2832651543133802,0.408198186701863,0.8745701119489441,0.3237628609898832,0.4737789067717078,0.8403458348449833,0.2107133566058195,0.3230187971551412,0.9077282385435904,0.3150196744002225,0.4135554993806621,0.8694049606988664,0.2059681857173234,0.2874507871094851,0.941904033190612,"{'rf__max_depth': None, 'rf__min_samples_split': 15, 'rf__n_estimators': 200}"
107,107,LWI_Ridge,0.3533290536167223,0.4665804277557016,0.8267402780693756,0.3763422489778271,0.5151651093952814,0.8112349037101949,0.3382060117168019,0.4568830868349194,0.8154035337996015,0.3455126399075114,0.4234580529368602,0.8630759071610008,0.3777273455747469,0.5022157973977367,0.8226628526650895,"{'ridge__alpha': 0.01, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
7,7,LWI_SVR,0.2597757116502906,0.3739483702746155,0.891153496715762,0.2769745034408805,0.3920258045334018,0.890690446650757,0.2257100259403497,0.3516957475996819,0.89061759837652,0.2764849710470307,0.376983447001776,0.8914815350036263,0.2542808251742454,0.3728413482918972,0.902261173868125,"{'SVR__C': 10, 'SVR__epsilon': 0.05, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
