,model,mae,rmse,r2,mae_avo,rmse_avo,r2_avo,mae_olive,rmse_olive,r2_olive,mae_grape,rmse_grape,r2_grape,mae_tr,rmse_tr,r2_tr,best_params
100,SWRI_MLP.pkl,0.07390109580144083,0.09892163192403881,0.5910448168797543,0.11964994890105192,0.1443975722086235,0.4424522944705592,0.14985193060998586,0.18258256345250237,-2.2401258089915763,0.04419507863779055,0.05785011183024397,0.7411408334696497,0.07574816328239636,0.10624857121060254,0.6552746160583822,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
101,SWRI_RF.pkl,0.05335039436077183,0.08084058023621267,0.7510005321335609,0.09490240195833842,0.12205471498026327,0.6016439916947336,0.18466181834279677,0.21718056966778915,-3.5844285543056067,0.03438274701491345,0.05424267881117479,0.7724182663187795,0.024912030896330692,0.03990029756206863,0.9513839873979958,"{'rf__max_depth': 30, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}"
102,SWRI_Ridge.pkl,0.07956845602627448,0.10553777007393196,0.533310678342896,0.1275214017698595,0.15511819062387308,0.3565901419978261,0.16161061368971213,0.19913702624339472,-2.8543159110794534,0.05422135112715161,0.06804511651884079,0.641863102510138,0.08138741837148673,0.10877021799715131,0.6387173841165736,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
103,SWRI_SVR.pkl,0.05418746464692983,0.08155243910627435,0.760805772582051,0.09545504240356045,0.12681177493691148,0.5699871709018007,0.19099864543088532,0.22341308438532578,-3.851326249444284,0.0309075136947608,0.042945988281887955,0.8573406156799264,0.05082991370513833,0.07745285614858388,0.8168099244647747,"{'SVR__C': 10, 'SVR__epsilon': 0.05, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
104,SWRI_XGB.pkl,0.052519673491502196,0.07984096110333337,0.7559338784752381,0.09592460574589257,0.12378915713034334,0.5902419806644241,0.18600053373361172,0.21732399246231607,-3.5904855294849582,0.030922926618390266,0.046430858472356874,0.8332489528258367,0.01717911086939134,0.02456289777930225,0.9815759005736402,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.6}"
105,TM57_MLP.pkl,0.10342089847885243,0.13341892185536905,0.7133788590444861,0.12545321085736832,0.15563179726816292,0.7115411161313112,0.27811822569477573,0.3460200314510721,-0.4646461621055007,0.10436399003555871,0.12731635097060828,0.6501912360066604,0.11034094731100211,0.14145696084282053,0.7523740383146106,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
106,TM57_RF.pkl,0.10012517856851423,0.1309624955572601,0.7363544340919392,0.12447408425111874,0.15831194260973894,0.7015204307527985,0.27809195586607155,0.35179157726304267,-0.5139136674851261,0.10253293175246449,0.12737008520387347,0.6498958980994516,0.06504757636463014,0.0840531442850597,0.912571010786675,"{'rf__max_depth': 20, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}"
107,TM57_Ridge.pkl,0.11887741165884322,0.14970793454523343,0.61671402067375,0.13106770359401243,0.16553400359595472,0.6736664757472818,0.28062476360488137,0.3324380126638718,-0.35192185919903896,0.11765482291221327,0.1437762030886184,0.5538957701172799,0.12367500191268942,0.1564230716553076,0.6972046869503341,"{'ridge__alpha': 0.1, 'ridge__fit_intercept': True, 'ridge__solver': 'auto'}"
108,TM57_SVR.pkl,0.10034058260441575,0.13131759470432783,0.7252611379364308,0.1289688582461229,0.15763079669204222,0.7040833551220809,0.2800770422517674,0.34886353740987414,-0.48881726241066104,0.0975238018776944,0.1258683228877824,0.6581030618297474,0.09602985621294276,0.12513093079055054,0.806234310077464,"{'SVR__C': 1, 'SVR__epsilon': 0.05, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
109,TM57_XGB.pkl,0.09748234990302475,0.12834537627593576,0.7332397087025306,0.12415701303291606,0.15666738651090273,0.7076894766229815,0.27328327801675273,0.34246097925527746,-0.43467134382272654,0.09692396144915232,0.12285086654308354,0.6742992423883885,0.07604904938842194,0.09718989235988754,0.8831066699096171,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
